index,id,size,loc,rooms,bathrooms,year,price,crime,salary
0,0,320,419,8,11,89,713500,6,50
1,1,70,8167,11,3,48,952500,2,70
2,2,370,7951,6,4,50,1013000,9,20
3,3,600,4357,4,8,68,1118000,10,30
4,4,270,1143,9,3,20,1335500,3,50
5,5,990,2263,11,2,41,2072000,8,90
6,6,680,7299,7,10,93,927000,5,30
7,7,170,5957,11,4,34,948000,3,20
8,8,710,4743,3,1,9,1738500,5,20
9,9,150,3029,6,11,58,716500,9,20
10,10,830,8293,5,4,89,1052000,3,20
11,11,690,6592,3,11,49,1498500,10,50
12,12,460,9885,8,8,44,1137000,3,20
13,13,610,2864,10,6,65,1413000,10,80
14,14,840,4935,2,8,40,1541000,1,20
15,15,110,5550,11,10,31,981000,5,30
16,16,500,5410,7,3,54,1448500,8,90
17,17,220,1872,7,10,0,1717000,9,90
18,18,680,224,4,10,40,1774000,9,90
19,19,910,7308,8,2,79,1284000,3,30
20,20,440,3723,9,8,56,1053000,4,30
21,21,180,2900,7,1,37,927500,4,20
22,22,880,565,5,3,74,1451500,3,60
23,23,610,8787,11,8,51,1500000,9,70
24,24,410,8067,11,8,20,1355000,8,20
25,25,510,3820,7,9,86,1056500,1,80
26,26,520,9748,6,10,95,1066000,9,90
27,27,230,4944,3,3,91,629500,3,60
28,28,730,2638,2,4,51,1534000,4,60
29,29,680,5169,1,3,95,1032500,2,60
30,30,70,9382,8,1,93,273500,7,20
31,31,630,9833,4,9,90,968500,8,40
32,32,70,3938,9,6,10,1257000,7,50
33,33,500,5165,8,6,10,1616000,3,40
34,34,180,832,6,11,9,1266500,5,30
35,35,940,8922,6,3,71,1627500,10,70
36,36,480,9417,1,1,76,1126500,3,80
37,37,260,5839,10,5,90,697500,7,60
38,38,80,8853,1,8,26,920000,1,20
39,39,880,9076,2,4,47,1529000,5,20
40,40,590,8236,7,2,34,1718000,4,90
41,41,490,5608,5,1,24,1680500,7,80
42,42,600,9713,5,4,77,1142000,3,60
43,43,330,7687,6,2,64,967000,6,50
