index,loc,crime,salary
0,0,10,90
1,1,5,60
2,2,1,60
3,3,2,30
4,4,10,50
5,5,1,20
6,6,2,60
7,7,9,90
8,8,10,30
9,9,1,70
10,10,9,50
11,11,7,40
12,12,5,30
13,13,4,80
14,14,1,20
15,15,5,70
16,16,7,40
17,17,9,50
18,18,2,30
19,19,9,30
20,20,5,70
21,21,2,50
22,22,4,70
23,23,7,80
24,24,6,70
25,25,4,80
26,26,10,30
27,27,7,60
28,28,10,90
29,29,2,40
30,30,10,30
31,31,5,40
32,32,3,80
33,33,7,30
34,34,8,40
35,35,9,70
36,36,9,40
37,37,10,50
38,38,3,20
39,39,1,50
40,40,7,40
41,41,8,90
42,42,9,70
43,43,2,60
44,44,8,80
45,45,2,60
46,46,5,90
47,47,1,80
48,48,9,20
49,49,6,70
50,50,5,50
51,51,8,30
52,52,9,90
53,53,9,30
54,54,3,50
55,55,7,30
56,56,3,50
57,57,9,40
58,58,9,50
59,59,7,70
60,60,7,80
61,61,6,20
62,62,7,20
63,63,1,30
64,64,1,30
65,65,7,50
66,66,10,60
67,67,2,60
68,68,9,70
69,69,10,50
70,70,2,60
71,71,3,70
72,72,9,60
73,73,10,40
74,74,10,30
75,75,6,50
76,76,1,60
77,77,3,70
78,78,8,70
79,79,4,40
80,80,1,60
81,81,5,80
82,82,3,70
83,83,1,50
84,84,4,80
85,85,4,90
86,86,2,40
87,87,3,80
88,88,6,90
89,89,10,70
90,90,1,50
91,91,2,20
92,92,1,20
93,93,2,50
94,94,10,50
95,95,1,40
96,96,10,50
97,97,3,70
98,98,2,90
99,99,2,90
100,100,1,20
101,101,1,40
102,102,6,40
103,103,10,30
104,104,1,20
105,105,5,80
106,106,7,80
107,107,7,70
108,108,1,50
109,109,3,20
110,110,4,60
111,111,4,30
112,112,3,90
113,113,7,30
114,114,1,60
115,115,6,50
116,116,2,80
117,117,4,80
118,118,7,20
119,119,6,80
120,120,6,30
121,121,2,40
122,122,9,50
123,123,1,80
124,124,6,80
125,125,10,60
126,126,9,90
127,127,6,80
128,128,8,80
129,129,9,70
130,130,6,40
131,131,9,70
132,132,10,80
133,133,10,40
134,134,2,20
135,135,6,80
136,136,10,70
137,137,2,40
138,138,5,30
139,139,8,60
140,140,8,40
141,141,8,80
142,142,10,80
143,143,8,90
144,144,7,60
145,145,1,40
146,146,4,70
147,147,10,90
148,148,5,40
149,149,5,50
150,150,7,90
151,151,9,90
152,152,5,30
153,153,10,80
154,154,3,70
155,155,2,80
156,156,2,90
157,157,7,30
158,158,4,30
159,159,5,80
160,160,6,90
161,161,5,20
162,162,1,20
163,163,3,70
164,164,9,50
165,165,1,70
166,166,8,50
167,167,7,50
168,168,6,50
169,169,9,50
170,170,3,50
171,171,3,20
172,172,1,50
173,173,2,20
174,174,3,80
175,175,4,60
176,176,6,40
177,177,8,40
178,178,9,80
179,179,8,20
180,180,8,80
181,181,7,80
182,182,10,20
183,183,3,30
184,184,1,30
185,185,5,70
186,186,6,70
187,187,5,30
188,188,7,50
189,189,10,80
190,190,1,40
191,191,5,70
192,192,7,80
193,193,5,90
194,194,10,90
195,195,9,50
196,196,1,90
197,197,8,50
198,198,2,90
199,199,8,90
200,200,2,20
201,201,2,40
202,202,6,20
203,203,6,30
204,204,1,40
205,205,9,30
206,206,4,20
207,207,8,60
208,208,2,60
209,209,6,70
210,210,3,30
211,211,4,60
212,212,5,80
213,213,6,50
214,214,8,70
215,215,7,60
216,216,9,30
217,217,1,90
218,218,5,70
219,219,7,20
220,220,4,70
221,221,6,80
222,222,10,30
223,223,4,70
224,224,9,90
225,225,4,20
226,226,1,50
227,227,10,90
228,228,7,70
229,229,3,80
230,230,4,30
231,231,10,80
232,232,2,20
233,233,5,40
234,234,1,20
235,235,6,70
236,236,1,80
237,237,9,40
238,238,2,80
239,239,4,20
240,240,7,20
241,241,1,90
242,242,1,90
243,243,7,50
244,244,6,60
245,245,8,30
246,246,5,20
247,247,10,60
248,248,1,20
249,249,1,60
250,250,10,60
251,251,3,70
252,252,3,60
253,253,2,90
254,254,7,60
255,255,7,60
256,256,8,60
257,257,4,60
258,258,10,30
259,259,1,40
260,260,8,30
261,261,8,60
262,262,10,40
263,263,1,30
264,264,3,40
265,265,3,40
266,266,1,80
267,267,6,20
268,268,9,80
269,269,1,70
270,270,6,20
271,271,10,60
272,272,4,30
273,273,10,30
274,274,7,90
275,275,10,60
276,276,8,20
277,277,9,70
278,278,1,60
279,279,10,50
280,280,7,40
281,281,1,70
282,282,2,30
283,283,1,50
284,284,2,60
285,285,10,20
286,286,5,60
287,287,10,60
288,288,1,90
289,289,2,50
290,290,8,50
291,291,10,60
292,292,4,30
293,293,1,30
294,294,9,60
295,295,2,40
296,296,6,40
297,297,5,70
298,298,6,30
299,299,5,60
300,300,4,50
301,301,5,50
302,302,5,40
303,303,2,30
304,304,2,40
305,305,3,30
306,306,2,50
307,307,2,40
308,308,3,80
309,309,3,30
310,310,3,50
311,311,6,40
312,312,9,30
313,313,2,20
314,314,8,40
315,315,2,50
316,316,8,40
317,317,2,20
318,318,9,70
319,319,1,20
320,320,7,20
321,321,8,20
322,322,6,80
323,323,2,30
324,324,3,80
325,325,7,20
326,326,2,40
327,327,6,50
328,328,9,80
329,329,1,50
330,330,4,40
331,331,10,50
332,332,7,80
333,333,4,80
334,334,1,60
335,335,3,80
336,336,9,80
337,337,10,80
338,338,9,50
339,339,1,90
340,340,8,80
341,341,8,30
342,342,5,20
343,343,7,60
344,344,4,60
345,345,5,40
346,346,6,80
347,347,4,70
348,348,6,80
349,349,10,40
350,350,3,90
351,351,4,30
352,352,3,50
353,353,3,50
354,354,6,60
355,355,9,50
356,356,5,40
357,357,2,60
358,358,7,20
359,359,8,80
360,360,2,50
361,361,8,20
362,362,2,70
363,363,3,60
364,364,10,50
365,365,3,90
366,366,8,70
367,367,5,40
368,368,7,40
369,369,8,50
370,370,4,60
371,371,3,30
372,372,4,30
373,373,10,90
374,374,3,60
375,375,6,20
376,376,1,70
377,377,8,80
378,378,3,80
379,379,7,20
380,380,6,60
381,381,8,70
382,382,4,70
383,383,8,70
384,384,1,60
385,385,4,20
386,386,7,60
387,387,1,50
388,388,8,40
389,389,3,50
390,390,10,70
391,391,6,60
392,392,2,50
393,393,1,30
394,394,3,20
395,395,4,70
396,396,2,90
397,397,5,40
398,398,3,50
399,399,1,50
400,400,3,90
401,401,9,60
402,402,9,40
403,403,9,60
404,404,7,20
405,405,6,70
406,406,9,70
407,407,9,90
408,408,9,50
409,409,1,90
410,410,7,20
411,411,2,40
412,412,3,80
413,413,9,60
414,414,4,80
415,415,10,80
416,416,9,80
417,417,7,70
418,418,8,40
419,419,6,50
420,420,2,80
421,421,7,60
422,422,10,80
423,423,7,90
424,424,8,90
425,425,10,80
426,426,6,70
427,427,10,80
428,428,3,90
429,429,5,80
430,430,9,70
431,431,10,60
432,432,3,80
433,433,1,50
434,434,1,90
435,435,7,20
436,436,9,30
437,437,7,70
438,438,5,30
439,439,8,30
440,440,8,90
441,441,1,30
442,442,7,70
443,443,5,20
444,444,10,70
445,445,8,40
446,446,2,70
447,447,6,70
448,448,2,70
449,449,4,20
450,450,7,60
451,451,4,70
452,452,2,40
453,453,1,40
454,454,8,70
